word,count
哈哈哈,37
 ,26
草,23
贴,15
熬夜,10
真的,8
懂,8
结婚,7
作业,6
爱,5
夜宝,5
肯定,5
想,5
哈哈哈哈,5
换,4
男生,4
女孩子,4
锻炼,4
doge,4
吃,4
°,4
●,4
车车,4
D,3
hso,3
真,3
确实,3
蛋期,3
子弹,3
医院,3
蛋蛋,3
滑稽,3
不对劲,3
晚上,3
运动,3
写,3
深,3
蹲,3
吃晚饭,3
樱桃,3
好好,2
简称,2
DD,2
好看,2
可爱,2
岁,2
磕昏,2
静静,2
tui,2
好大,2
样子,2
有换,2
每次,2
确信,2
月,2
换蛋,2
痛,2
关注,2
男孩子,2
感觉,2
男,2
ಥ,2
举报,2
O,2
hhhhhh,2
劝,2
好家伙,2
玩游戏,2
铁人三项,2
车,2
夜跑,2
深夜,2
夜宵,2
反思,2
做,2
￣,2
小说,2
铐,2
走,2
压,2
脸上,2
玩,2
白天,2
♂,2
月亮,2
四五路,2
舒服,2
土豆,2
kksk,1
听,1
推,1
长得,1
漂亮,1
立绘,1
衣服,1
初见,1
单推,1
Sodayo,1
至死,1
方休,1
