word,count
铃宝,886
铃,814
 ,780
草,727
耶,224
哈哈哈,220
可爱,170
ズ,165
ス,164
猫猫,162
叉,154
￣,143
初见,135
结婚,111
单推,107
吃,103
哈哈哈哈,90
猫,86
饺子,85
中文,80
哒,79
好听,78
说,78
太,77
想,73
中国,70
▽,68
雨刷器,68
好好,68
尾巴,68
www,67
DD,67
老婆,64
大气,64
厉害,62
土土,62
错字,61
喜欢,61
铃煲,59
卧槽,57
大话西游,56
日语,55
做,54
头,54
嘤,50
狮子,50
好人,49
日本,48
晚上,48
红烧,48
giegie,47
算,47
老板,45
い,45
喵,44
啊啊啊,44
恭喜,44
棒棒,42
打工,40
天才,40
好家伙,39
桃子,39
经典,38
煎,38
懂,37
真的,36
雨刮器,36
awsl,35
梗,35
mua,34
红豆,34
玲宝,33
hso,33
新,33
妈妈,33
谐音,33
kora,32
笑,32
⌒,32
作文,32
骂,31
dd,31
铃猫,31
听,31
手,31
爱,31
15,31
死,30
感觉,30
高中,30
岁,29
教,29
不错,29
牙白,29
白毛,29
强,29
铃酱,28
土,28
嘟嘟,28
语言,28
