word,count
 ,2550
哈哈哈,1922
草,1578
哈哈哈哈,959
可爱,540
mei,482
耶,447
汐宝,416
天才,401
酱,360
说,256
吃,236
笑,232
飞飞,223
死,222
太,213
攻,206
懂,205
企鹅,199
日本,166
好家伙,158
热乎,157
谢谢,144
兔子,143
真的,142
狗,136
啊啊啊,134
喜欢,127
中国,116
贴,115
噔,113
数学,109
这是,105
厉害,105
分钟,103
做,99
DD,96
确实,90
任天堂,90
高,89
汐,88
doge,86
想,85
喝,85
真,81
中文,80
awsl,80
感觉,77
好像,76
www,76
い,73
玩,72
狂喜,72
听,71
好吃,71
明白,70
企飞,69
完,69
危,67
哦哦哦,65
dd,64
鲤鱼,64
离谱,62
叉,61
摸鱼,61
经典,60
爱,60
理解,60
声音,59
ohhhhhhhhh,58
两个,57
听到,57
hhh,57
长沙人,57
10,57
算,56
事,56
忘,55
小学,55
170,55
学,54
明明,53
起飞,50
诶,50
推,50
甜,50
东西,49
下饭,49
呜呜,49
180,49
教,48
小时,48
ohhhhhh,47
ohhhhhhhh,47
ohhhhhhh,46
卧槽,45
简单,45
汪汪,45
里,45
老师,44
