word,count
草,975
哈哈哈,923
 ,815
哈哈哈哈,434
霓裳,294
憨,189
店长,137
可爱,121
星宝,104
笑,93
说,86
死,84
仓鼠,77
太,75
好家伙,72
黑铁,62
做,59
血压,57
理解,56
关注,54
老师,46
玩,45
想,45
高中,45
黄铜,44
题,44
声音,43
懂,42
awsl,42
啊啊啊,39
点,38
耶,37
草草,36
感觉,36
骂,36
确实,35
真的,35
聪明,34
完,34
doge,34
离谱,33
急,32
尿床,32
选,31
这是,31
承认,31
极限,31
同学,31
行列式,30
不愧,29
小学,29
真,29
い,29
高考,29
数学,29
nichang,29
简单,28
龙哥,27
听,27
蒙,26
走,26
中,26
说话,25
高,24
喜欢,24
好像,24
好活,24
上海,24
星沙姐,24
2333,23
b,23
www,23
爱,22
挺,22
B,22
向量,22
派,21
原神,21
up,21
行,21
不错,21
233,21
分,21
绝对值,21
复数,21
宝箱,20
谢谢,20
学,20
大学,20
考,20
18,20
chang,20
指,19
开,19
不对劲,19
眼神,19
第一次,19
厉害,19
真实,19
抽,19
