word,count
哈哈哈,115
 ,87
草,58
哈哈哈哈,55
笑,17
死,16
好家伙,15
开幕,14
哦哦哦,14
方式,13
确实,11
雷击,11
宝贝,11
聪明,11
ybb,11
耶,9
抱歉,9
好听,8
泪目,8
七七,8
真的,7
行,7
说,7
psp,7
山猪,7
doge,6
傻,6
白神遥,6
懂,6
弹幕,6
号,6
啊啊啊,6
哭,6
唱,6
王,6
噔,6
离谱,5
七宝,5
直播间,5
PSP,5
兴趣,5
点,5
不愧,5
丈育,5
紫气东来,5
蓝天白云,5
铁拳,5
首页,5
司机,5
开心,4
菠萝,4
还行,4
跳,4
骗,4
真,4
天才,4
刚刚,4
小学,4
太,4
爱,4
经典,4
星际,4
血压,4
高能,4
擦,4
盘子,4
坏,4
售票员,4
鹅,4
h,3
表姐,3
赛东,3
儿子,3
实物,3
发现,3
差点,3
一半,3
完,3
字幕,3
记忆,3
四个,3
v,3
直播,3
加,3
10,3
宝,3
几何,3
企业,3
文化,3
接受,3
星汐,3
233333,3
玩家,3
走,3
声音,3
喜欢,3
不错,3
lsp,3
三杀,3
锤,3
