word,count
 ,30
绫,13
喵,8
塞,8
爱,6
不错,5
doge,5
好家伙,4
哈哈哈,4
＼,4
好听,4
真的,4
数位,4
板,4
哈哈哈哈,3
♡,3
♤,3
诶,3
耳朵,3
里,3
洗澡,2
吃,2
吃饭,2
草,2
36E,2
脸红,2
泡泡,2
茶壶,2
♪,2
电,2
这是,2
社死,2
下次,2
听,2
好评,2
๑,2
‾,2
o,2
〃,2
真,2
吃药,2
贴,2
世界,2
医院,2
偏方,2
生病,2
小时候,2
东西,2
消音,2
词,2
说,2
沾点,2
nt,2
NyaNyaNyaNyaNya,1
23333333,1
当饭,1
我要,1
兴奋,1
拍,1
肚皮,1
mua,1
抖露,1
精神,1
气氛,1
秃然,1
中,1
明白,1
太二,1
迷糊,1
说胡话,1
坐牢,1
混沌,1
恶龙,1
不愧,1
不信,1
康康,1
脑袋,1
狗头,1
大草,1
小孩子,1
做,1
选择,1
冲突,1
混血,1
龙族,1
寿命,1
很长,1
kimida,1
꧁,1
◇,1
□,1
♢,1
꧂,1
wwww,1
星星,1
眼爱,1
击剑,1
三连,1
玩,1
开挂,1
