word,count
吸吸,154
真实,130
 ,118
哈哈哈,107
草,94
哈哈哈哈,45
月,34
笑,31
我姐,30
♂,20
太,20
吃,19
姐姐,18
死,18
吸,18
骂,17
爪巴,17
想,16
爬,16
说,14
这是,13
啊啊啊,13
真,13
嫖,11
妹妹,11
滑稽,10
拒绝,10
老婆,10
声音,9
现实,9
买,9
表情,9
爱,9
现场,9
狂笑,9
害怕,9
女神,8
可爱,8
女人,8
好看,8
awsl,7
喜欢,7
好像,7
不行,7
粉丝,7
孩子,7
妈妈,7
妈,7
嫂子,7
抽,6
中,6
太君,6
弹幕,6
淦,6
哭,6
233,6
舰长,6
别骂,6
渣,6
视频,5
dd,5
做,5
开,5
真的,5
写,5
wdnmd,5
23333,5
睡觉,5
老板,5
结局,5
推,5
魔鬼,5
咔,5
直播,5
傻,5
竟是,5
瓜巴,5
蔡,5
两个,5
阿月,5
骨科,5
单推,4
三连,4
永远,4
好听,4
开心,4
脸上,4
车速,4
请,4
东西,4
做梦,4
不愧,4
bgm,4
前排,4
我要,4
感觉,4
吸欧气,4
屑,4
耶,4
好活,4
