word,count
 ,79
草,51
尿,24
度,15
哈哈哈,13
希咏,12
说,12
零下,12
好奇,12
好家伙,10
剪,10
骂,10
开幕,9
啊啊啊,9
＼,9
雷击,8
试试,8
想,7
关注,7
结冰,7
可爱,6
doge,6
冰水,6
混合物,6
确实,6
玩,5
岁,5
40,5
20,5
地上,5
哈哈哈哈,5
行,4
企鹅,4
耶,4
太,4
好听,4
i,4
懂,4
温度,4
冻,4
冰,4
东北,4
绝对零度,4
真,4
真的,4
好怪,4
双性恋,4
不对劲,4
た,4
 ,3
指,3
中之人,3
暴露,3
30,3
感觉,3
水,3
黄色,3
亲测,3
小妹妹,3
好奇心,3
听,3
就行了,3
体温,3
热,3
卧槽,3
多度,3
biu,3
弹幕,3
喜欢,3
啪啪,3
高,3
双,3
钱,3
不开,3
手,2
剪掉,2
hso,2
老师,2
谢谢,2
冒犯,2
还好,2
别骂,2
vtb,2
离谱,2
取关,2
笑,2
爱,2
x,2
坏,2
换回去,2
傻,2
没内味,2
水蒸气,2
液滴,2
正面,2
←,2
jpg,2
凝固点,2
零度,2
低,2
