word,count
 ,151
哈哈哈,114
草,75
啊啊啊,43
素素,40
哈哈哈哈,31
好家伙,29
下次,25
加油,23
好听,22
爱,18
很棒,16
可爱,15
厉害,15
好活,14
doge,14
太,13
牛,13
贴,13
嫖,12
开幕,12
雷击,12
hso,12
耶,12
说,12
主任,12
想,11
逼,10
做,10
不错,10
泪目,10
吃,9
扳手,9
害怕,9
笑,8
真,7
诶,7
听,7
摸鱼,7
点,7
不信谣,7
传谣,7
素姐,6
弹幕,6
跳,6
强,6
素素姐,6
好好,6
还行,6
喜欢,6
确实,6
bgm,6
老婆,6
风,6
听不见,6
区,6
三连,6
视频,5
朽木,5
素,5
嗷,5
大姐头,5
穿模,5
钱,5
义肢,5
真的,5
可怕,5
开,5
这是,5
朋友,5
阿姨,5
先,5
直播,5
感觉,5
卧槽,5
工人,5
25,5
辣,5
放,5
i,5
影流,4
哥,4
kksk,4
awsl,4
热乎,4
涩,4
机甲,4
色,4
硬核,4
沙雕,4
好像,4
生草,4
期待,4
新年快乐,4
2333333,4
摸,4
枕头,4
2333,4
哭,4
片头,4
