word,count
 ,645
草,495
寄,214
哈哈哈,180
骂,145
老婆,121
罕见,113
可爱,103
哈哈哈哈,81
说,75
好听,73
柬埔寨,70
蚌埠,70
住,70
耶,63
笑,61
爱,60
爹,50
太,49
 ,47
死,46
懂,45
妈,43
狗,41
莲宝,38
大佐,38
话,37
上头,36
吃,33
doge,32
○,31
吸血鬼,31
妈妈,31
喜欢,30
真的,29
雪莲,27
日语,27
广东,27
好家伙,26
眠,26
p,26
r,25
单推,24
大声,23
热乎,23
中国,23
kksk,22
啊啊啊,22
这是,22
想,22
害怕,22
听,22
噢,22
真,22
确实,21
耳机,21
猫,21
声音,20
不对劲,20
女人,19
东,19
分钟,19
做,18
党,18
初见,18
＼,18
狂喜,18
咱妈,18
耳朵,17
好好,17
中文,16
awsl,16
你好,16
优美,16
挺,16
危,16
完,16
别骂,16
动,16
ybb,16
吼,15
点,15
卧槽,15
屑,15
14,15
岁,15
直播,15
滚滚,15
DNA,15
岳母,15
捏,14
请,14
嘴,14
逆天,14
魅魔,14
骂人,14
蓮宝,14
一遍,13
唱,13
天才,13
