word,count
 ,1933
好听,459
岳风,277
鲸宝,266
500,201
黑体,201
true,175
い,160
啊啊啊,152
林岳风,151
听,128
棒,119
　,113
n,109
た,107
な,106
开口,94
＼,93
声音,92
の,82
て,81
好好,79
哈哈哈,78
总有,77
一条,77
河,77
跪,76
真的,76
童话,76
镇里,76
蜿蜒,75
好棒,73
弹幕,72
喜欢,71
温柔,70
七彩,67
し,63
だ,60
も,58
感觉,57
UP,57
硬币,57
っ,57
想,55
草,55
か,55
君,52
字幕,50
呜呜,49
を,49
爱,48
说,47
「,47
に,47
う,47
岳风岳,46
风岳风,46
⁄,46
哈哈哈哈,45
太,45
ら,45
ん,44
转粉,43
可爱,42
唱,42
表白,41
る,40
よ,38
路,37
が,37
世界,36
中,35
走,35
超棒,35
は,35
で,35
up,34
前方,32
声线,32
赞,32
苏,32
I,32
加油,31
时间,31
笑,31
2.1,31
超,30
开头,30
循环,30
あ,30
•,30
w,29
不错,29
ま,29
里,28
め,28
no,28
ω,27
call,27
と,26
