word,count
真华,208
 ,153
草,94
哈哈哈,78
华哥,37
好听,35
哈哈哈哈,33
华子姐,32
♪,24
华子哥,21
太,21
啊啊啊,20
爱,15
说,14
喜欢,14
听,10
燃爆,10
ohhhhhhhh,10
biu,10
太强,9
kksk,9
可爱,9
开头,9
i,9
开口,7
笑,7
想,7
呆,7
推真华,7
醉,7
朝夕相处,7
形影不离,7
耶,6
tql,6
死,6
山海,6
续,6
好好,6
出生,6
跪,6
勇敢,6
地说,6
察觉,6
阿华,5
真的,5
厉害,5
好活,5
bgm,5
毛,5
不错,5
点,5
PV,5
悲伤,5
喝醉,5
哥,5
好强,5
vup,5
太对,5
束手无策,5
感觉,4
阿巴,4
唱,4
华子,4
强,4
泪目,4
柊,4
心,4
甜,4
弹幕,4
高,4
知晓,4
命运,4
结婚,4
老婆,4
逼,4
awsl,4
满月,4
红莲,4
变强,4
芖,4
新人,4
帅气,4
绽放,4
回来,4
再来,4
亿遍,4
汀,3
初见,3
前奏,3
谢谢,3
qaq,3
骑,3
梅开二度,3
此曲,3
一出,3
确实,3
滑,3
歌词,3
震惊,3
汪汪,3
