word,count
 ,178
嗷,39
648,36
上头,35
い,31
す,28
好听,28
熬,23
日语,22
可爱,20
喜欢,20
doge,19
妙,19
る,19
胡桃,17
が,17
の,16
で,16
は,16
说,13
主公,13
声音,13
awsl,13
押韵,13
好家伙,12
太,12
耶,12
哈哈哈,12
亿遍,12
っ,12
ま,12
し,12
感觉,11
笑声,11
爱,11
hso,11
中文,11
に,11
高桥,11
た,11
嗷嗷,11
ー,11
て,11
急,10
啊啊啊,10
死,10
草,10
大木,10
再来,10
を,10
く,10
ん,10
ル,10
岁,9
火钳,9
刘明,9
な,9
李依,9
平,8
犯罪,8
确实,8
公主,8
新,7
版本,7
走,7
哈哈哈哈,7
み,7
こ,7
う,7
地沟油,7
ひ,7
さ,7
お,7
姐姐,6
领域,6
笑,6
真,6
懂,6
よ,6
每日,6
丘丘人,6
听,6
孩子,5
指,5
16,5
一点,5
平板,5
低俗,5
不远,5
龙王,5
单推,5
FBI,5
吃,5
三连,5
阿伟,5
xp,5
月,5
不错,5
天才,5
天,5
