word,count
 ,881
草,539
哈哈哈,201
永远,197
√,168
酱,133
哈哈哈哈,78
awsl,66
贴,63
可爱,56
血压,52
害怕,46
dd,40
开幕,38
说,37
娘,37
啊啊啊,35
死,32
女人,32
雷击,32
好活,31
吃,31
爱,31
新科,29
DD,29
丈育,28
¿,27
骂,27
笑,27
小行星,26
噔,26
吧唧,26
喜欢,24
⚡,24
噗,23
bgm,23
想,22
开,21
太,20
kksk,20
危,20
这是,19
单押,19
BGM,18
玩,18
聪明,18
斩首,18
好家伙,17
拉满,17
耶,16
高能,16
jojo,16
简单,15
23333,15
里,15
奥利,15
星,15
前方,15
he,15
真,14
不太,14
好听,14
飙升,14
家,14
大猩猩,14
大行星,14
太草,13
兄弟,13
完,13
doge,13
真的,13
JOJO,13
鬼,13
推,13
还行,12
懂,12
经典,12
傻,12
老八,12
↓,12
二次元,12
确实,12
僵尸,12
毕生,12
所学,12
新,11
指,11
感觉,11
工人,11
草草,11
闭眼,11
老婆,10
奇怪,10
弹幕,10
xswl,10
雷,10
hso,10
之词,10
哈斯,10
声音,10
