word,count
 ,606
▄,385
▅,383
▂,337
▃,324
曜,308
啊啊啊,240
好听,230
▆,225
爱,170
子,130
龙子龙,128
awsl,122
火钳,102
刘明,99
阿爸,96
卧槽,80
光芒,80
歌元,80
嫖,79
亮亮,68
之外,67
▇,67
听,65
姐姐,62
公瑾,61
太,58
あ,58
芒种,54
哭,53
池年,50
不白,44
好好,43
弹幕,41
厉害,37
声音,36
真的,36
说,36
之种,36
前方,36
唱,35
█,33
艾琳,33
哈哈哈,32
亿遍,32
高能,31
喜欢,29
再来,29
光年,29
i,28
牛,28
逼,28
刘德华,28
鸡皮疙瘩,26
三分,26
五虎上将,26
原唱,25
不错,24
年,24
字幕,24
云,24
婉儿婉儿,24
表白,23
之地,23
死,22
来到,22
周公瑾,22
好评,21
笑,21
好家伙,21
歌词,20
跪,20
失败,20
お,20
张良,20
邓紫棋,19
耳机,19
阿伟,19
网易,19
up,18
真,18
青春,18
一遍,18
留名,18
我来,18
龙,18
这句,17
原版,17
你币,17
玩,17
い,17
I,17
忘记,17
草,17
稷下,17
排面,17
666,16
参见,16
李白,16
回到,16
