word,count
 ,87
老板娘,42
小雪,30
可爱,24
i,24
哈哈哈,19
推,19
草,18
爱,16
狼,15
筱魈,13
猫,11
想,11
22222,11
bgm,10
老婆,10
加油,10
ha,9
 ,9
诶,9
川桑,9
吃,8
哭,8
做,8
说,8
222222222222222222222222,8
害怕,7
哈哈哈哈,7
耳朵,7
恭喜,7
好大,7
喜欢,7
朋友,7
好看,7
白毛,7
好听,7
喵,6
←,6
泪目,6
啊啊啊,6
腿,6
2222222,6
好惨,6
太,6
立案,6
惨,6
偷税,6
doge,5
厉害,5
单推,5
模型,5
之海,5
12,5
win,5
听,5
D,5
薄片,5
愉悦,5
笑,4
傻,4
眼睛,4
雷击,4
●,4
真的,4
弹幕,4
初音,4
衣服,4
假肢,4
这是,4
滑稽,4
22222222,4
2222,4
还行,4
抖,4
kksk,4
控,4
感觉,4
报警,4
2000,4
up,4
挺,4
这波,4
硬核,4
捡,4
达不溜,4
母,4
一点,4
白眼,4
豆腐,4
whl,3
效果,3
ヾ,3
BGM,3
开幕,3
天,3
憨,3
现场,3
睡,3
放,3
邪恶,3
