word,count
沙月,320
月,255
 ,31
awsl,27
铛铛,24
＼,19
傻,18
可爱,17
草,16
亿遍,15
耶,14
每日,13
番茄,12
晚上,12
铛,11
AWSL,11
视频,9
太,7
哈哈哈,7
嗝,7
去世,6
天使,6
๑,6
call,6
拜拜,6
时差,5
阿巴,5
元气,5
死,4
听,4
神奇,4
弹幕,4
直播,4
好听,3
发,3
永远,3
小沙,3
现场,3
阿伟,3
加密,3
通话,3
随缘,3
真实,3
睡,3
三连,3
强,3
唱歌,3
虚空,3
紧张,3
七七,3
​,3
场,2
一段,2
第二个,2
泪目,2
终于,2
萌混,2
过关,2
ԅ,2
¯,2
跳,2
爷青结,2
乌拉,2
好像,2
东西,2
超,2
愛,2
歪,2
•,2
脑袋,2
里,2
雨,2
奇怪,2
比划,2
乛,2
背景,2
经典,2
Awsl,2
遇见,2
熬,2
睡觉,2
111,2
为沙,2
唱,2
早点,2
单推沙,2
早上好,2
弹,2
回,2
请,2
歌喉,2
庆祝,2
挑战,2
次,2
代码,2
假装,2
咯,2
特别,2
粑,2
时间,2
