word,count
 ,7713
好听,2396
鸢,1491
泠,1439
冷鸟,1324
awsl,1031
鸟,983
表白,887
啊啊啊,878
快乐,793
生日快乐,792
中秋,639
听,630
哈哈哈,594
太,524
yousa,522
前,499
爱,483
可爱,458
喜欢,441
憨,415
草,394
耶,385
弹幕,337
真的,305
承包,289
愿,289
鸟鸟,283
好好,282
胡,281
摸摸头,281
哈哈哈哈,279
开头,266
美好,263
吹,246
唱,244
泪目,243
走,241
开口,231
声音,230
女神,226
爆,225
相聚,223
感觉,222
口,218
跪,215
时尽,205
字幕,199
诶,197
分钟,196
想,195
这是,193
热乎,187
游戏,184
歌,180
真,180
小时,172
咕,170
超,170
说,168
大头,167
hanser,167
前排,167
恰饭,165
暖,164
亿遍,163
永远,160
老婆,160
回来,157
抱,157
call,152
好看,145
死,145
　,143
前方,140
高能,137
哭,137
本色,136
一遍,135
高,132
玩,130
月,128
我爱你,128
君,126
嘤,125
终于,122
行,121
腿,119
再来,119
天,116
棒,116
奥拉,114
滑稽,113
套娃,113
还行,110
1.25,110
我来,109
阿姨,107
一生,106
首歌,105
