word,count
 ,7474
吸吸,2377
草,1792
哈哈哈,1669
哈哈哈哈,773
莎莎,404
hso,347
莎,316
不对劲,307
吸,283
啊啊啊,277
可爱,269
awsl,230
doge,218
死,213
害怕,212
懂,201
好家伙,199
笑,191
说,186
庞贝,173
真,164
游戏,162
太,158
现场,158
危,154
想,153
阴间,152
卧槽,150
噔,149
bgm,146
玩,138
离谱,136
BGM,135
草草,132
真的,130
裂开,130
¿,129
脸红,127
分钟,127
整活,118
这是,118
耶,116
声音,114
老板,110
男,106
前方,106
吃,105
狐狸,104
鬼,104
♂,100
做,98
热乎,98
0.5,96
里,94
不行,94
走,90
听,88
陈,87
感觉,86
许愿,85
呦,84
点,84
完,84
黑,83
好活,82
高能,81
纸片,79
男人,78
动,78
高,72
妈,70
弹幕,70
一米,70
我要,69
骂,69
谢谢,68
up,67
爱,67
东西,66
确实,66
奇怪,66
好像,66
预判,65
头,63
╳,63
视频,62
雷击,62
ゴ,62
诶,61
请,61
中,60
开幕,60
干,59
掉,59
好涩,59
发现,58
倍,58
社死,57
傻,57
