word,count
哈哈哈哈,13
哈哈哈,12
 ,8
淩,7
可爱,6
太,5
呜呜,4
钰,3
草,3
好听,3
喀秋莎,3
耶,3
念,3
啊啊啊,3
我来,2
唱,2
鬼,2
好家伙,2
i,2
越,2
分钟,2
chi,2
一闪,2
阿凌,2
热乎,1
HHHHHHHHHHH,1
眼角,1
这颗,1
zhi,1
感觉,1
妖娆,1
早,1
纸人,1
听,1
间,1
原,1
声,1
碟,1
旅,1
朋友,1
男生,1
说话,1
搞笑,1
死人,1
竟是,1
太大,1
好绕,1
玉米,1
66666,1
老婆,1
初一,1
五音不全,1
高,1
情商,1
小可爱,1
雫,1
黍子,1
hhhhhhhh,1
围观,1
社死,1
现场,1
战损,1
版,1
www,1
气,1
突苏,1
好评,1
咳咳,1
离谱,1
弹幕,1
干扰,1
拖到,1
怀里,1
拉秃露,1
皮,1
鬼压床,1
打墙,1
打床,1
可怕,1
表情,1
直呼,1
悄,1
咪咪,1
屏幕,1
心率,1
变,1
ohhhhhhhhhhhh,1
名,1
场面,1
三个,1
疯狂,1
追,1
妈妈,1
死,1
生活,1
所迫,1
卖艺,1
卖萌,1
可耻,1
女孩子,1
