word,count
 ,828
加油,673
游戏,408
做,309
喵,294
大佬,228
厉害,213
太,192
up,167
买,163
支持,161
真的,156
哈哈哈,142
说,130
牛,128
想,125
感觉,122
可爱,121
逼,110
岁,100
爱,93
喜欢,90
玩,90
真实,85
太强,84
战神,83
不错,82
500,79
主,68
天才,63
辛苦,60
独立,59
真,57
UP,56
哈哈哈哈,56
开发,54
unity,54
小姐姐,53
动作,53
妹子,52
14,50
佩服,49
完,49
富婆,49
300,49
虚幻,48
少女,48
这是,46
鬼泣,45
强,45
制作,44
打击,44
好像,44
确实,44
以内,44
中,42
家里,42
优化,41
三连,38
感,37
有钱,37
nb,37
tql,36
挺,36
声音,36
年,36
学,36
卧槽,36
啊啊啊,35
显卡,34
17,34
233,33
awsl,33
视频,32
希望,32
努力,32
成功,32
高考,32
2333,31
电脑,31
梦想,31
400,31
666,30
建模,30
不行,30
弹幕,29
钱,29
大学,29
学校,29
恭喜,28
期待,28
技术,28
朋友,28
猫,26
时间,26
steam,26
23333,26
⊙,26
一点,25
神,25
