word,count
 ,676
啊啊啊,621
月,450
好听,407
爱,299
老公,171
听,164
呜呜,144
太,128
好好,104
开口,103
哈哈哈,101
喜欢,100
声音,97
跪,94
✁,90
✃,90
贺电,86
死,79
卧槽,78
字幕,75
◇,74
可爱,59
真的,58
宝藏,57
君,55
い,55
な,53
救命,50
亿遍,49
う,48
少年,46
て,46
awsl,44
哈哈哈哈,43
想,42
露出,42
夺走,42
视线,42
感觉,40
っ,40
感谢,39
た,39
发现,38
什,37
鸡皮疙瘩,37
ら,37
の,37
嫖,36
眼神,36
海底,35
失败,33
哭,33
だ,33
精灵,32
再来,32
三连,32
美女,32
开头,31
笑,30
I,30
孩子,30
好帅,29
こ,29
も,29
一遍,28
i,28
万,27
首页,27
支持,27
神仙,26
か,25
恭喜,25
ん,25
唱,24
前方,24
表白,24
ー,24
好棒,22
真,22
太绝,21
太帅,21
南康,21
え,21
り,21
音,20
通知书,20
る,20
笑声,19
高能,19
说,19
嗨,19
は,19
棒,18
kksk,18
草,18
妈妈,18
每日,18
飞,18
理所当然,18
