word,count
月,10175
灵,10070
♬,1686
 ,910
耶,486
好听,285
晚上,277
い,267
晚安,245
辛苦,223
お,222
草,219
AETHER,218
太强,170
太,151
で,149
し,148
www,145
の,137
す,132
ん,131
た,130
88888888,129
姐姐,128
卧槽,120
谢谢,118
可爱,116
真的,114
ww,112
ー,111
耳机,103
啊啊啊,103
は,101
听,100
な,96
8888888,93
れ,89
う,83
唱,82
厨房,81
￣,80
888888,76
专业,75
老外,73
跪,71
ま,71
玩,70
厉害,67
喜欢,67
wwww,66
こ,66
か,65
灵姐,65
っ,65
选手,64
恐山,64
だ,64
Aether,64
职业,62
に,62
ｗ,61
あ,60
雪之华,60
ル,60
て,59
る,59
强,58
よ,57
ン,57
°,57
歌,56
直播,56
旋律,55
w,54
ば,54
流泪,53
开口,53
も,53
妖精,52
哈哈哈,51
太棒了,50
ね,49
好家伙,48
ア,48
が,47
き,47
疲,47
様,46
好好,45
kksk,45
と,45
分手,45
恭喜,43
下次,43
り,43
wwwww,43
丢,42
游戏,42
や,41
さ,41
