word,count
好听,104
啊啊啊,46
哈哈哈,42
肆哥,34
爱,29
 ,25
太,22
喜欢,18
好好,18
听,18
可爱,18
哈哈哈哈,12
呜呜,10
肆宝,10
开口,8
牛,8
火西肆,8
沉眠,8
跪,7
awsl,7
城镇,7
歌,7
肆,6
声音,6
前往,6
加油,5
唱,5
真的,4
死,4
好棒,4
www,4
火,4
耶,4
kksk,4
草,4
yyds,4
那天,4
nb,4
神仙,4
汀,4
耳机,4
逼,3
太棒了,3
西,3
笑,3
永远,3
口,3
胡,3
牛牛,3
超,3
可可,3
支持,3
wsl,3
三连,3
说,3
❤,3
懂,3
弹幕,3
ohhhhhhhhhhhhh,2
越,2
听到,2
好丁,2
想,2
一遍,2
圣诞节,2
快乐,2
tql,2
喔,2
๑,2
齁,2
甜,2
AWSL,2
2333,2
蚌埠,2
住,2
高级,2
好像,2
好强,2
suki,2
阿肆,2
感觉,2
应援,2
街道,2
房间,2
里,2
唱歌,2
call,2
惹,2
正义,2
555,2
肆姐,2
阿爸,2
四哥,2
i,2
不想,2
阿巴,2
火火,2
党,2
适合,2
脸红,2
