word,count
 ,825
哈哈哈,298
¿,223
哈哈哈哈,148
草,118
姐姐,116
awsl,107
说,97
听不见,86
爱,82
害怕,81
憨,79
想,77
可爱,75
啊啊啊,70
老师,62
危,52
死,50
哭,48
喜欢,45
听,44
裂开,43
笑,42
车车,41
doge,39
兴奋,38
好家伙,37
毛二力,36
老子,35
太,35
骂,35
豁,35
卧槽,34
真的,33
完,33
别哭,33
野猪,32
猪灵,32
吃,31
兄弟,30
感觉,29
一模一样,29
我家,29
睡,29
老婆,26
真,24
我错,24
没错,23
声音,23
走,23
玩,23
诸君,23
选,23
弹幕,22
牛奶,22
喵,21
猪,21
网吧,21
做,20
狗头,20
回家,20
小声,20
滑稽,19
高,19
懂,19
我要,19
只能,19
挺,18
泪目,18
社死,18
住,18
分,18
确实,17
心,17
抱,17
这是,17
不对劲,17
晚安,17
军舰,17
死亡,16
草草,16
好好,16
男,16
刺激,16
不行,16
鬼,16
聪明,16
天,16
班主任,16
请,16
作业,16
想开,16
厉害,15
精神,15
眼睛,15
高中,15
结婚,14
tm,14
点,14
淦,14
