word,count
 ,16
哈哈哈,6
哈哈哈哈,5
可爱,4
额,4
东西,3
表情,2
直播,2
熊,2
↓,2
别念,2
尖叫,2
打工,2
♂,2
崽,2
神器,2
摩托车,1
真不错,1
离谱,1
长,1
六七个,1
这是,1
口腔溃疡,1
长嘴,1
平平,1
眼中,1
生气,1
请重,1
踩,1
真的,1
单推,1
多期,1
发现,1
熊崽是,1
关注,1
还好,1
取关,1
粉丝,1
稀罕,1
聊,1
听到,1
忘记,1
发,1
弹幕,1
港腔,1
翻译,1
标题,1
感谢,1
nyako,1
礼花,1
对味,1
办法,1
凶起来,1
太,1
淦,1
发音,1
nga,1
神奇,1
地方,1
语言,1
专家,1
单推人,1
倒,1
变强,1
咬牙切齿,1
时,1
这辈子,1
找,1
不到,1
工作,1
家,1
装修,1
不错,1
防空警报,1
死到,1
金,1
不亏,1
反复,1
碾压,1
熊崽熊,1
哒,1
笑,1
死,1
开裆,1
手,1
杰克,1
完熊,1
客服,1
恐惧,1
游戏,1
恐怖,1
一吓,1
准,1
好听,1
耶,1
平时,1
喝水,1
一喝,1
一大,1
盆,1
