word,count
草,815
 ,494
说,167
哈哈哈,138
结婚,133
可爱,109
熊姐,93
中国,81
日本,78
确实,77
骂,75
老卢,75
哈哈哈哈,74
太,71
www,70
东北,68
喜欢,55
毕业,55
い,54
男朋友,52
字正腔圆,44
懂,44
中文,43
挺,41
回来,41
晚上,40
房子,40
V,39
谢谢,38
吃,38
想,37
标准,37
の,35
明天,35
耶,34
一把,34
女人,33
别骂,33
北方,32
熊,31
真的,31
钱,30
か,29
な,29
笑,28
把住,28
DD,28
拜拜,28
彩礼,28
好听,27
粑,27
男友,27
幸福,27
呜呜,26
ん,26
感觉,25
好家伙,25
2333,25
分手,25
儿化,25
岁,25
疙瘩汤,25
爱,24
直播,24
音,24
找,24
交往,24
￣,24
北京,23
死,22
瞅,22
る,22
た,22
牛头人,21
孩子,21
♪,21
号,21
は,21
ｗ,21
翻译,20
老婆,20
站,20
工作,20
女朋友,20
妈妈,20
で,20
天才,19
做,19
ま,19
味儿,18
真,18
找到,18
手,18
点,18
๑,18
肯定,18
B,18
dd,18
对线,18
w,18
