word,count
 ,41
好听,22
草,13
骂,12
单推,12
爱,11
可爱,11
awsl,9
奈奈,8
哈哈哈哈,7
哈哈哈,7
初见,7
结婚,7
D,7
推,7
耶,7
别骂,6
听,5
啊啊啊,5
吃,4
好好,4
jpg,4
表情,4
老婆,4
真的,4
✪,4
d,4
泪目,3
笑,3
姐姐,3
关注,3
监控,3
拆,3
▽,3
弹幕,3
说,3
我来,3
火钳,3
刘明,3
唱,3
嘴,2
早,2
下次,2
眼神,2
歌词,2
死,2
DD,2
好大,2
亿个,2
扎心,2
牛头人,2
好看,2
孩子,2
哭,2
真,2
干杯,2
T,2
扶,2
白毛,2
好怪,2
一眼,2
改了,2
难度,2
演技,2
ღ,2
˘,2
跪,2
prprpr,2
舔,2
呲,2
溜,2
不行,2
脸红,2
语气,2
凶,2
歌,2
雪莲,2
压,2
ಥ,2
穿脑,1
魔音,1
莎莎妮妮,1
醒爷,1
瞩目,1
50,1
停,1
小时,1
热热,1
聪明,1
局里,1
聊聊,1
人生,1
狗头,1
聪,1
明,1
单推人,1
ohhhhhhhhhh,1
充满,1
智慧,1
最爱,1
