word,count
草,416
 ,140
可爱,91
猫猫,54
哈哈哈,52
咲夜,44
耶,30
太,27
喜欢,27
www,27
猫,27
害怕,26
哈哈哈哈,26
DD,24
い,23
说,22
好听,21
团长,19
kksk,17
想,16
awsl,16
suki,15
真,15
声音,15
粉猫,15
死,14
て,14
dd,14
懂,14
谢谢,14
爱,12
笑,12
好家伙,11
っ,10
开幕,10
危,10
表情,10
の,10
し,9
好强,9
帅,9
噔,9
呜呜,9
粉,9
真的,9
东西,9
单推,9
弹幕,9
233,8
き,8
wwww,8
o,8
感觉,7
好帅,7
人格,7
骂,7
で,7
雷击,7
草草,7
震惊,7
oto,7
泪目,7
玩,7
噢,7
な,7
も,7
に,7
か,6
wwwwww,6
明明,6
ｗ,6
听,6
这猫,6
hso,6
た,6
る,6
斩首,6
还行,6
哦哦哦,6
熟练,6
り,6
好人,6
♪,6
๑,6
॑,6
私,6
酱,6
よ,5
站,5
做,5
啊啊啊,5
恐怖,5
你好,5
れ,5
ww,5
う,5
D,5
眼睛,5
真实,5
错,5
