word,count
泪目,182
哈哈哈,151
 ,140
醋,118
害怕,86
timi,60
哈哈哈哈,57
奥利,50
小鹰,38
翻车,30
猫头鹰,30
猫,26
喝,25
草,24
nainai,24
真实,22
哭,20
文晓依,19
六道,19
冯姐,18
我要,17
泪,15
沐,15
可爱,14
鹰,14
缺,14
想,13
doge,13
特别,13
好家伙,12
现场,12
舌头,12
富婆,12
惨,12
小话,11
笑,11
惹,10
吓出,10
离谱,10
牛,10
加油,10
名字,10
喉咙,10
Timi,10
救命,10
痨,9
罗宝,9
声音,9
嘤,9
太,9
依依,9
破,9
不愧,8
拜拜,8
i,8
杀,8
喜欢,8
国内,8
配音演员,8
心疼,8
老师,8
awsl,8
听,8
TIMI,8
疯,7
这是,7
真,7
导演,7
玄幻,7
保护,7
动物,7
圆脸,6
感觉,6
完,6
贴,6
懂,6
狮子,6
忍不住,6
卧槽,6
翅膀,6
眼泪,6
变,6
道,6
啊啊啊,6
妈妈,6
游戏,6
姿态,6
听见,6
女人,5
死,5
皇家,5
罗伊,5
王子,5
爱,5
hhh,5
弹幕,5
好活,5
好听,5
bksn,5
2333,5
