word,count
 ,121
哈哈哈,61
板板,36
草,32
危,23
笑,18
可爱,17
猫猫,16
耶,16
好家伙,14
awsl,13
开心,13
www,12
哈哈哈哈,12
孩子,11
加班,10
板,9
辣,9
东西,8
泪目,8
啊啊啊,7
死,7
懂,7
说,7
恶灵,7
箱子,7
胡桃,6
doge,6
开幕,6
广东,6
找物管,6
爱,5
开,5
掉,5
歌,5
雷击,5
前方,5
高能,5
剪,5
大声,5
妈妈,5
干嘛,5
darlin,5
衣服,4
请,4
DD,4
声音,4
小时,4
太,4
队友,4
啧,4
粉丝,4
有人,4
吟唱,4
点,4
啾,4
喜欢,4
阿板,4
天才,4
单推,4
鬼,4
叔叔,4
完,4
吼,4
里,4
舔,4
走,4
钓鱼,4
明白,4
梦想,4
住,3
海边,3
做,3
猫,3
想,3
现场,3
谢谢,3
保底,3
哭,3
方式,3
kksk,3
永远,3
写,3
画,3
雷,3
满脸,3
我爱你,3
老婆,3
sc,3
快乐,3
←,3
挑战,3
石油,3
佬,3
感觉,3
man,3
指,3
剪掉,3
女人,3
狂喜,3
