word,count
草,78
哈哈哈,36
 ,31
好听,16
哈哈哈哈,15
好活,13
嗨,13
真的,11
Mya,11
要来,11
骂,10
唱,9
太,9
段,9
擦,9
感觉,8
爱,8
玩,8
大炮,8
声音,7
嗨哟,7
喜欢,7
精灵,7
笑,6
害怕,6
别骂,6
逼,6
姐姐,6
听,6
啊啊啊,6
耶,6
鸡皮疙瘩,6
这段,6
死,5
www,5
吃,5
黑,5
开口,5
跪,5
 ,5
h,5
anti,4
安娜,4
呜呜,4
学者,4
战姿,4
Myanna,4
狗,4
棒,4
牛,4
ohhhhhh,4
唱得,4
烤肉,4
黑皮,4
i,4
T,4
眼,3
点,3
弹,3
调音,3
小玛,3
赤魔,3
抬,3
骑士,3
好好,3
魔,3
挺,3
完美,3
doge,3
师兄,3
免费听,3
老婆,3
混音,3
哦哦哦,3
燃起,3
今晚,3
xp,3
凉皮,3
好家伙,2
kksk,2
掉,2
比划,2
明明,2
想,2
Q,2
2333,2
首页,2
迫真,2
开幕,2
玛,2
祝福,2
经典,2
投币,2
草草,2
ohhhhhhhhh,2
可爱,2
红职,2
奶量,2
确实,2
足,2
