word,count
乐,777
收到,427
嘟嘟,401
卧槽,201
 ,186
工具,146
罕见,144
珈,141
乐乐,133
风情,123
走,102
骑士,86
永远,79
哈哈哈,76
二次元,76
一首,69
嘟,67
呜呜,66
住,65
剑,65
举着,65
回来,65
皇珈,64
蚌埠,62
好好,58
麻,52
我超,50
这下,50
捏,48
剪,48
死,45
笑,45
明白,43
绷,43
哈哈哈哈,42
太潮,42
不住,41
哭,39
SOUL,37
拉拉,32
冰,27
贝拉,26
进化,24
真的,22
日语,21
jo,21
困惑,20
害怕,20
小鬼,20
麻麻,19
说,19
泪目,19
拉姐,19
soul,18
run,18
然然,18
停止,17
玩,17
太,17
烧,17
口音,17
细说,17
追逐,16
别哭,16
好想你,15
想,15
生气,15
高跟鞋,13
毕业,13
我要,13
woc,13
真,13
喜欢,13
太多,13
我会,12
铸币,12
集合,12
辣,12
潮,12
爱乐,11
红色,11
啊啊啊,11
拉,11
味儿,11
二甲,11
属实,10
皇家,10
信乐,10
甜心,10
童言无忌,10
守护,10
坏,9
终于,9
做,9
北海道,9
疯,8
溜,8
爱,8
唱,7
切片,7
