word,count
草,7185
 ,6085
哈哈哈,5500
哈哈哈哈,2574
可爱,1171
肥梦,1073
大姐头,963
天才,833
梦,789
笑,646
后期,599
好听,522
い,518
死,518
爱,484
说,465
草草,459
好活,424
吃,403
太,377
awsl,370
妈,355
￣,350
泪目,333
害怕,326
咩,324
の,323
琴肥,297
下次,293
厉害,291
想,279
铁,278
手,275
骂,269
真的,267
加油,263
太草,261
话,260
真,256
喜欢,254
√,253
啊啊啊,247
す,246
内味,243
唱,241
整活,241
は,240
标准,239
辛苦,231
ん,225
で,224
不错,219
这是,218
晚上,216
听,211
な,206
狂喜,206
天灾,206
日本,205
感觉,201
▽,197
中文,196
琴,194
谢谢,193
吹,184
挺,182
耶,177
开,174
裂开,174
2333,172
君,172
妈妈,171
玩,171
kksk,169
日语,167
❤,167
字幕组,165
好家伙,164
卧槽,162
た,162
队友,160
姉,153
人机,153
开幕,152
笑声,151
️,149
www,148
雷击,148
奥利,148
°,147
し,146
萌,146
梦酱,144
直播,142
好像,142
か,141
声音,140
灵魂,138
不愧,138
翻译,138
