word,count
莉莉,448
白银,421
▁,186
▂,186
▃,186
▅,186
▆,186
▇,186
莉宝,108
 ,79
哈哈哈,57
可爱,53
草,53
awsl,42
爱,30
哈哈哈哈,25
好听,24
＼,19
啊啊啊,17
太,15
单推,15
我会,13
ノ,12
这关,12
笑,11
声音,11
哥哥,10
玩,9
꧁,8
꧂,8
想,8
真,8
推,8
弹幕,8
i,8
猫猫,7
死,7
说,7
4.5,7
dd,7
DD,6
听,6
正片,6
耶,6
后宫,6
喜欢,6
吃,6
200,6
朵子哥,6
≧,6
∇,6
≦,6
危,5
队友,5
还行,5
真的,5
谢谢,5
妈妈,5
20,5
甜,5
n,5
500,5
SimSun,5
up,5
加油,5
多多指教,5
现场,5
好活,5
解说,5
好家伙,4
BGM,4
哭,4
支持,4
啾,4
这是,4
开幕,4
嗷,4
有人,4
爷,4
不错,4
天,4
完,4
妹妹,4
动,4
giegie,4
°,4
新,4
宝藏,4
走,4
补到,4
真不错,4
填词,4
傻,3
噢,3
帮,3
离谱,3
泪目,3
是莉宝,3
56,3
捏,3
