word,count
草,2851
 ,2406
ア,1256
リ,632
高,604
达,556
可爱,378
aria,326
高达,297
帕里,289
哈哈哈,236
说,210
＼,206
awsl,205
吃,180
猫,162
耶,147
▁,144
▂,144
▃,144
▅,144
▆,144
哈哈哈哈,140
い,139
好事,137
500,130
喜欢,124
FangSong,123
危,122
噔,120
kksk,120
确实,119
30,116
太,115
真的,111
开幕,109
骂,108
雷击,103
懂,101
想,98
www,89
请,86
草草,85
笑,83
debubu,83
艾,82
莉娅,80
女人,78
火,72
▇,72
n,71
白猫,71
家,70
猫猫,64
麻辣,64
害怕,64
做,63
真,63
即答,63
标准,61
debu,61
大姐,61
0.4,59
死,59
小姐,59
hso,59
好家伙,58
nano,58
兔子,57
兔头,57
大木,57
谢谢,56
急,56
啊啊啊,55
DD,55
中文,55
岁,55
混沌,54
0.9,54
蒸牛水,53
0.6,53
Aria,52
尾巴,52
・,51
救,50
手,48
女,48
p,48
里,48
唐僧,48
爱,47
没事,47
这是,46
老婆,46
下次,45
白菜,44
0.083,44
0.743,44
好听,43
挺,42
