word,count
草,111
啊啊啊,36
可爱,26
哈哈哈,23
 ,18
生日快乐,16
嘤,10
哈哈哈哈,10
a,10
大爷,9
 ,9
awsl,8
电脑,5
吓死,5
珑,4
感觉,4
呦,4
草草,4
声音,4
弹,4
死,3
O,3
叭,3
章鱼,3
坏蛋,3
dekoki,3
哒,3
蟑螂,3
危,3
害怕,3
永远,2
出柜,2
狗头,2
真,2
太,2
芜湖,2
卧槽,2
手机,2
跳,2
调皮,2
吃,2
我要,2
QwQ,2
第几次,2
Ծ,2
不乖,2
手指,2
喔,2
不放,2
小可,2
循环,2
QAQ,2
TT,2
淦,2
好像,2
加油,2
恭喜,2
柠檬精,2
灵魂,2
钢琴,2
不香,2
皇家,2
翻译官,2
个人感觉,2
好大,2
柠檬,2
Q,2
q,2
真不错,2
LSP,2
确实,1
撒,1
噩梦,1
瞄,1
笑,1
子弹,1
差,1
一步,1
mc,1
梅开,1
六度,1
喜欢,1
神代珑,1
23333333,1
y,1
吾主,1
兄弟,1
公屏,1
泪目,1
耶,1
舒服,1
懂,1
拖孩,1
上锁,1
亚达,1
戳,1
巴巴爸爸,1
丢,1
wsl,1
叭叭,1
