word,count
 ,243
哈哈哈,212
温州人,83
哈哈哈哈,77
笑,56
日语,47
死,40
听不懂,33
懵,30
听懂,29
逼,24
温州,24
温州话,23
草,22
听,21
这是,20
瑞安,20
压力,20
外语,18
真的,17
一脸,16
骂,15
好像,15
说,14
可爱,14
老师,12
亲切,12
乐清,12
爱,11
太,10
真实,10
感觉,10
字幕,10
狂喜,10
话,10
♂,10
abandon,9
真,9
一句,9
报道,9
up,8
字,8
吴语,8
一点,8
语言,8
好家伙,7
想,7
感到,7
建议,7
中国,7
D,7
软,7
吃,6
饿,6
祁柒,6
忽悠,6
厉害,6
上海,6
方言,6
法语,6
懂,6
人之初,6
性本,6
香,6
傻,5
耶,5
藤,5
喜欢,5
警告,5
声音,5
直译,5
不看,5
头,5
掉,5
恶魔,5
鹿城,5
对不起,5
开头,5
一遍,5
单推,5
甜,5
完,4
hhhhh,4
辣条,4
￣,4
加,4
还行,4
三连,4
惨,4
前方,4
首页,4
大拇指,4
听力,4
东北,4
赌,4
再来,4
河北人,4
韩语,4
苍南,4
之语,4
