word,count
啊啊啊,7338
 ,4504
蛀牙,2325
牙牙,2038
好听,1755
爱,1751
awsl,1264
热乎,1097
听,1025
喜欢,889
太,816
卧槽,708
鸡皮疙瘩,699
双厨,631
狂喜,625
分钟,500
囍,499
真的,484
死,449
呜呜,423
小时,398
这首,375
亿遍,350
高能,349
姐姐,346
好好,338
唱,333
弹幕,331
牛,329
前方,328
恭喜,327
牙,312
哭,290
感觉,289
再来,288
上头,280
百大,274
歌姬,271
入,271
我来,267
吹,266
爆,262
歌,256
跪,254
表白,254
太强,253
哈哈哈,251
逼,250
嗷嗷,247
快乐,235
冥府,232
耶,231
可爱,228
坑曲,226
字幕,225
祖娅,223
声音,223
首歌,215
醉,213
杀,212
天,208
纳惜,205
神仙,205
开头,204
前排,203
厉害,202
百万,201
n,200
说,199
高音,193
吃,185
哨子,184
网易,183
前,183
阿伟,182
温柔,181
想,181
开口,180
新年快乐,180
唢呐,178
君,168
太棒了,165
真,162
女神,159
承包,157
永远,156
疯,155
人间,155
云,154
一遍,154
哥哥,154
循环,151
yyds,151
回来,146
棒,146
入坑,144
我爱你,142
耳机,142
走,141
害怕,139
