word,count
秋蒂,59
啊啊啊,52
可爱,46
草,37
 ,37
哈哈哈,36
爱,20
哈哈哈哈,19
加油,17
耶,16
喜欢,15
 ,14
h,12
宝贝,11
害怕,11
▽,10
真的,10
吃,10
o,9
感觉,9
说,9
≧,8
≦,8
太,8
好家伙,8
这是,7
ヾ,7
呜呜,7
awsl,6
๑,6
很棒,6
元,5
喵,5
Q,5
w,5
新,5
欧拉,5
￣,4
梅开二度,4
笑,4
死,4
日语,4
宝宝,4
永远,4
小可爱,4
十火,4
hso,4
日本,4
偶像,4
舞蹈,4
二次元,4
求,4
观众,4
天,3
好看,3
新星,3
wow,3
秋蒂子,3
忘记,3
密码,3
裂开,3
聋,3
保护,3
做,3
秋蒂好,3
快乐,3
www,3
整活,3
a,3
3d,3
节目,3
太强,3
棒,3
好棒,3
成功,3
岁,3
跨次,3
真实,3
耳机,3
花子,3
哭,3
模型,3
声音,3
敌敌畏,3
虚拟,3
脱单,3
doge,3
字幕,3
粉丝,3
嗓子,3
d,2
记忆,2
T,2
奇怪,2
灵魂,2
搞笑,2
厨师,2
噔,2
手机,2
点,2
