word,count
可爱,131
哈哈哈,119
 ,95
汪汪,46
草,45
哈哈哈哈,38
老婆,37
舌头,30
啊啊啊,28
眼睛,26
汪,25
太,21
笑,16
科尔,15
说,12
doge,11
小爱,11
接地,11
脸红,10
呜呜,10
爱,10
xp,9
嗨,9
XP,9
请,9
三只,9
结婚,9
好听,9
腿,8
喜欢,8
hso,8
死,8
同学,8
想,7
舌,7
吻,7
科宝,7
分钟,7
交朋友,7
骂,6
你好,6
泡泡,6
茶壶,6
救命,6
刀,6
气,6
真的,5
奇怪,5
戳,5
声音,5
ฅ,5
卧槽,5
san,5
卡哇伊,5
害怕,5
好家伙,5
吃,5
第三只,5
四只,5
建议,5
抄,5
阿巴,5
府,5
整点,5
送走,4
好涩,4
宝贝,4
炸,4
听,4
关注,4
好色,4
awsl,4
挺,4
值,4
www,4
恐怖,4
一遍,4
行,4
开心,4
真,4
110,4
前方,4
做,4
蹦迪,4
鬼,4
这是,4
姐姐,4
bgm,4
感觉,4
冲冲,4
阴间,4
阳间,4
差点,3
指,3
太多,3
一眼,3
up,3
牟,3
敲,3
​,3
