word,count
 ,107
草,76
哈哈哈哈,34
哈哈哈,33
可爱,18
好家伙,13
草草,12
小吉,11
笑,10
太草,9
想要,9
好听,8
开幕,8
死,8
猴,7
坏,7
雷击,7
爱,7
I,7
吉宝,6
吉吉,6
下次,6
太,6
确实,6
真的,6
耶,5
不对劲,5
叽,5
害怕,4
抢,4
说,4
吉,4
吃,4
听,4
骂,4
Mighty,4
男孩子,4
变态,4
两个,4
早稻,4
经典,4
感觉,4
厉害,4
yue,4
复刻,4
三人成虎,4
孕肚,4
视频,3
玩,3
手机,3
粑,3
恶人,3
懂,3
国王,3
不行,3
大草,3
开,3
爷青回,3
文化,3
叽叽,3
月,3
你好,3
送,3
一眼,3
好怪,3
毛病,3
没错,3
理解,3
库洛米,2
初见,2
单挑,2
卡面,2
身份,2
区,2
文明,2
怎么回事,2
霸王餐,2
百草园,2
三味书屋,2
ﾟ,2
doge,2
配音,2
请,2
僵尸,2
↓,2
马路,2
本音,2
大片,2
吼,2
佛说,2
值钱,2
魔鬼,2
妖,2
王,2
kora,2
好看,2
好好,2
制作,2
憨,2
九折,2
