word,count
 ,3348
加油,1234
草,1201
哈哈哈,1120
狼,907
钢板,859
哭,568
哈哈哈哈,416
说,246
筱魈,239
可爱,228
¿,227
awsl,209
泪目,178
笑,177
啊啊啊,168
害怕,166
真的,164
喜欢,162
危,159
骂,159
揉,159
耶,156
保护,153
心疼,151
想,142
doge,138
up,138
草草,130
这是,129
吃,127
喵,127
别哭,117
做,116
右边,116
开幕,115
雷击,107
猫,107
不哭,106
爱,105
抱抱,103
左边,95
男,94
狗头,94
摸摸,93
模型,92
臭豆腐,92
妈妈,89
憨,89
装甲,88
真,87
东西,87
―,86
急,85
DD,85
傻,84
冒犯,84
太,82
回来,82
疯,81
板,77
魁首,76
摸摸头,76
滑稽,74
死,74
懂,73
kksk,73
感觉,72
奇怪,71
完,71
迫害,70
鬼,69
老师,69
声音,68
hso,68
现场,67
乐乐,67
玩,66
兄弟,64
确实,63
胸肌,63
胸,62
孩子,60
弹幕,60
钱,58
支持,58
谢谢,57
粽子,57
铁板,56
dd,56
走,55
peko,55
增加,55
视频,54
好看,54
转粉,54
下次,52
路,52
自欺欺人,52
汤圆,52
