word,count
 ,442
草,163
哈哈哈,103
可爱,74
米,71
哈哈哈哈,49
耶,33
加油,32
不对劲,30
hso,30
好家伙,25
呆,23
毛,23
说,22
doge,21
想,19
弹,19
️,18
脸红,17
之词,17
❤,17
地中海,17
mua,16
虎狼,16
害怕,15
胖,15
阿姨,15
爱,14
啊啊啊,13
真的,13
Q,13
太,12
离谱,12
封面,12
猫,12
挺,12
¿,12
吃,11
♂,11
初见,11
奇怪,11
喵,11
awsl,11
好大,11
亲,11
先帝,11
笑,11
变强,11
这是,10
喜欢,10
泡泡,10
抖,10
⊙,10
UP,9
好看,9
三连,9
up,9
挖矿,9
哭,9
穿模,9
孩子,9
茶壶,9
不行,9
走,8
关注,8
真实,8
老婆,8
流,8
点,8
以理服人,8
下次,8
听,8
摇,8
w,8
懂,8
泪目,8
秃,8
肿,8
FBL,8
open,8
the,8
door,8
骂,7
标题,7
美少女,7
物理,7
确信,7
棒,7
咯,7
死,7
厉害,7
狗头,7
胃,7
道,7
领证,7
鼻涕,7
射罪,7
好听,7
lsp,6
bushi,6
