word,count
 ,456
哈哈哈,405
草,306
恭喜,271
哈哈哈哈,175
可爱,167
米蕾优,153
猪猪,141
awsl,88
啊啊啊,68
憨,66
猪,59
吃,52
说,41
太,37
笑,35
贴,34
爱,32
危,30
乌拉,29
の,27
想,26
拉,25
hhhhh,24
芝,24
死,24
23333,22
が,22
真实,21
热狗,21
游戏,20
声音,20
吸吸,20
愛馬,20
尾巴,19
狼,19
柠哥,18
感觉,18
2333,18
i,17
真的,17
因子,17
๑,16
米蕾,16
加油,16
开幕,16
雷击,16
好家伙,15
懂,15
好听,15
傻,15
岁,15
恐怖,14
草草,14
前方,14
道,14
真,13
这是,13
小可爱,13
厉害,13
粉丝,13
听,13
太草,13
优,13
哒,12
鬼,12
好像,12
弹幕,12
抱,12
炼,12
吧唧,12
手,11
温柔,11
马,11
谢谢,11
还行,11
ｈ,11
不对劲,10
hhhh,10
哭,10
玩,10
耶,10
好活,10
猪叫,10
高能,10
⊙,10
技能,10
老师,10
逃马,10
好好,10
耳朵,10
我来,10
咏唱,10
噢,10
卡哇伊,9
滑稽,9
不愧,9
狗头,9
中,9
xswl,9
