word,count
草,452
 ,196
哈哈哈,147
哈哈哈哈,50
姐姐,42
确实,32
结界,31
草草,25
说,24
度人,24
贴,23
太,21
可爱,19
真的,18
笑,16
喜欢,15
真实,15
厕所,15
光一,14
睡,14
北京,14
游戏,13
论文,13
拉,12
芙,11
第一,11
挺,11
tbbt,11
aza,11
声音,11
痔疮,11
死,11
爱,11
素星,10
D,10
hso,10
推,10
蹲,10
紫纪,10
堂姐,10
弥希,10
大象,9
中,9
感觉,9
nncb,9
kksk,9
前辈,9
DD,9
懂,9
想,9
dd,9
憨,9
miki,9
真,8
永远,8
女人,8
不行,8
离谱,8
里,8
经典,8
八木,8
阿良,8
不准,8
65,8
安,8
太大,8
C,7
光子,7
泪目,7
老师,7
萨麦尔,7
w,7
蹲坑,7
算,7
狂喜,7
相声,7
听,7
妈,7
惑,7
唱歌,7
组,7
兔,7
冠绝,7
zdgy,7
耶,6
www,6
做,6
jpg,6
233,6
节目,6
箱,6
骂,6
悲,6
老板,6
玩,6
反抗军,6
儿化,6
音,6
胯,6
固定,6
