word,count
 ,4067
草,1958
哈哈哈,902
兔子,426
驴,421
哈哈哈哈,399
奈奈,298
噔,248
兔,205
说,176
hso,144
awsl,138
危,137
画,134
可爱,130
吃,129
想,126
兔头,120
乳奈,114
男,108
太,107
ん,106
小驴子,104
笑,103
开幕,102
雷击,100
真的,98
懂,98
保护,98
驴子,96
妈妈,96
¿,91
啊啊啊,88
骂,87
麻辣,86
死,84
傻,81
粉色,79
女朋友,75
丈育,73
好活,72
耳朵,71
确实,68
晃,66
聪明,65
屑,64
即答,64
真,62
好玩,62
喜欢,61
鬼,61
指,59
字幕组,58
完,58
真实,57
知识,57
爱,56
奇怪,55
kksk,54
哦哦哦,54
太草,53
这是,53
增加,52
doge,52
桌子,52
现场,52
刀,52
粉,51
233,51
女,51
弹幕,48
震撼,48
害怕,45
滑稽,44
胸,43
尾巴,42
色,41
危险,41
狗头,41
peko,41
里,41
高,40
动,40
还好,40
味道,40
绝活,40
做,39
好像,39
感觉,39
anti,39
领带,39
发言,38
jpg,38
穿,38
耳刀,38
急,37
警告,37
粉驴,36
乳,36
23333,36
