word,count
 ,1656
草,1343
哈哈哈,714
晓音,371
哈哈哈哈,305
牛,277
逼,269
晓音姐,232
笑,162
害怕,143
红晓音,114
说,114
开幕,114
音姐,111
钢板,105
雷击,102
好听,97
啊啊啊,86
真,84
孤寡,83
死,78
太,77
高,73
草草,72
想,69
真的,67
噔,67
一模一样,66
好家伙,62
豹豹,61
懂,54
awsl,53
魔法,52
血压,52
确实,51
强,50
李白,50
完,49
doge,48
吃,46
谢谢,46
kksk,45
越,45
朋友,44
地理,43
危,42
音,41
裂开,41
狼,41
耶,41
♪,41
现场,40
不愧,40
ღ,40
杜甫,39
黑,38
爱,37
泪目,37
太强,37
穿,36
i,35
弹幕,35
可爱,35
厉害,35
皮蛋,35
傻,34
玩,34
里,34
这是,34
对不起,34
完全一致,34
离谱,33
唱,33
tql,33
红,32
恶心,32
感觉,31
听,31
震怒,31
心,31
努力,30
¿,30
少女,29
东西,29
老师,28
好活,27
诶,27
停下来,27
好事,27
男,26
鸟,26
话,26
少壮,26
卧槽,26
罚抄,26
世界,25
太草,25
上头,25
珍惜,25
猫,25
