word,count
 ,11
阿巴,7
hso,6
哈哈哈哈,5
牛腩,4
干嘛,3
牛,3
哈哈哈,2
青叶,2
可爱,2
吼,2
大声,2
写实,2
说,2
分钟,2
⊙,2
∠,2
一点,2
doge,2
草,2
试,2
婆娘,1
本音,1
好听,1
太屑,1
233333,1
祥林嫂,1
公开,1
处刑,1
好帅,1
众所周知,1
psd,1
发给,1
真傻,1
真的,1
流眼泪,1
看一遍,1
初次见面,1
差点,1
飙,1
中文,1
老婆,1
一模一样,1
外放,1
吓死,1
手机,1
摔,1
地上,1
电子锁,1
不用,1
钥匙,1
双重,1
否定,1
肯定,1
这波,1
紧跟,1
时事,1
好评,1
刚刚,1
新鲜,1
只能,1
一摸,1
音量,1
诉讼,1
指纹锁,1
30,1
挺,1
热乎,1
关系,1
丧,1
干,1
心,1
病,1
漂,1
狂,1
亮,1
开幕,1
雷击,1
佬,1
铂金,1
加大力度,1
哭,1
瞩目,1
这撒子,1
口音,1
混,1
感觉,1
不错,1
﹏,1
ᐛ,1
看戏,1
太快,1
慢,1
读,1
经典,1
没人切,1
御,1
大病,1
缠身,1
走,1
