word,count
光宝,121
哈哈哈,51
 ,37
牛,18
草,14
逼,14
哭,14
NB,10
笑,9
杀,9
好听,8
说,8
66666,8
女人,7
死,6
耶,6
姐姐,6
喜欢,6
弹幕,6
°,6
恋人,6
少主,6
太,6
疯,6
哈哈哈哈,6
真,5
男,5
天堂,5
想,5
感情,5
加油,4
爱,4
萨拉,4
行,4
・,4
真的,4
绫濑光,4
小孩,4
工程师,4
小丑,4
老公,4
强,4
厉害,4
坏,4
不想,4
呜呜,4
10,3
开幕,3
雷击,3
直播,3
DD,3
hhh,3
我来,3
无敌,3
跳,3
这波,3
倒,3
666666,3
呆,3
阿光,3
还行,3
D,3
听,3
可爱,3
做,3
正道,3
前方,2
doge,2
点,2
诶,2
好家伙,2
一秒,2
白头,2
摸摸,2
声音,2
xs,2
单推,2
市场调研,2
赫萝,2
老师,2
钱,2
铺垫,2
长,2
超级,2
大荒,2
少年,2
233,2
好狠,2
发现,2
纯姐,2
jiyi,2
圆,2
危,2
刺激,2
对不起,2
障总,2
话题,2
童工,2
经典,2
狂喜,2
