word,count
 ,232
草,49
〖,41
〗,41
kira,30
Kira,26
に,25
た,24
い,21
て,20
の,16
好听,15
君,15
害怕,15
く,14
が,13
想要,13
咩,13
哈哈哈,13
っ,12
♪,12
๑,12
॑,12
噢,12
と,11
可爱,11
爱,11
挡,11
I,11
声音,10
温暖,10
冻伤,10
こ,9
线,9
は,9
粤语,9
弹幕,9
啊啊啊,9
冬霜,9
伝,8
つ,8
な,8
え,8
届,8
け,8
下次,8
皆,8
喜欢,8
awsl,8
死,8
区区,8
言语,7
传达,7
点,7
哈哈哈哈,7
太,7
不想,7
笑,7
you,7
听,6
言叶,6
だ,6
彼方,6
告诉,6
种种,6
✧,6
⸜,6
꒳,6
⸝,6
✰,6
卧槽,6
耶,6
若能,6
咕咕,6
kksk,6
茄子,6
寂寞,6
若想,6
を,5
ん,5
音,5
き,5
感觉,5
放,5
开幕,5
雷击,5
真的,5
骂,5
不愿,5
唱,5
强,5
KIRA,5
挡住,5
气球,5
岁,5
开口,5
二次元,5
死鱼,5
霜星,5
回家,5
