word,count
草,207
 ,174
哈哈哈,68
罗爷,47
懂,45
哈哈哈哈,42
好家伙,28
打牌,27
住,26
说,25
蚌埠,25
耶,24
笑,22
蘑菇,22
养猪,18
毕业,18
开幕,15
圣诞树,15
死,14
噔,14
dd,14
吃席,13
吃,13
niki,13
DD,13
雷击,12
玩,11
罗,11
赢,10
不愧,10
制作,10
搬家,10
铜须,10
3s,10
确实,9
菈,9
假哭,9
小哥,9
资本家,9
真的,8
这是,8
听,8
猪,8
NIKI,8
完,8
超好,8
型,8
对面,7
bm,7
离谱,7
世界,7
树,7
牛,7
表情,7
明明,7
聋,7
难处,7
二重,7
还行,6
风中残烛,6
一把,6
游戏,6
太,6
我来,6
高,6
搁,6
做,6
泪目,6
兽,6
草草,6
菇,6
耳朵,6
开,6
绷,6
不住,6
盖,6
鞠躬,6
情商,6
出道,6
毛病,6
一块钱,6
保姆,6
瓦莉拉,5
炉石,5
爆杀,5
喜欢,5
bgm,5
2333,5
随从,5
好像,5
师傅,5
回来,5
声音,5
想,5
女,5
中,5
呜呜,5
可爱,5
嗓子,5
送走,5
