word,count
uyu,6952
 ,2603
可爱,1493
草,1249
￣,1099
°,964
晚上,758
晚安,741
小鸡,698
い,694
乌愈,691
＼,658
好听,589
∀,569
▽,488
哈哈哈,464
老板,453
耶,446
piiii,413
ﾉ,402
piiiii,399
公主,372
piiiiii,343
大气,337
す,320
www,309
吃,308
piiiiiii,303
喜欢,297
同传,282
爱,267
直播,264
piiiiiiii,262
鸡,261
piii,253
う,252
ん,246
か,245
想,244
は,243
太,234
し,227
哈哈哈哈,226
拜拜,226
の,214
⌒,213
piiiiiiiii,212
で,211
翻译,211
谢谢,208
说,202
な,195
て,193
辛苦,192
中文,183
ま,175
厉害,172
こ,170
睡,167
っ,160
〜,157
天才,157
ゆ,156
た,156
･,156
唱歌,155
piiiiiiiiii,154
听,152
真的,152
姐姐,148
唱,147
感谢,144
88888888,144
加油,138
歌,136
お,135
る,128
日本,125
wwww,125
打鸣,124
8888888,122
鸟,122
に,121
を,121
好好,120
本体,120
好吃,119
屁,118
睡觉,118
が,116
好看,115
结婚,115
き,110
感觉,109
这是,105
休息,105
piiiiiiiiiii,104
わ,103
凤凰,100
suki,99
