word,count
 ,827
█,192
欧拉,115
哈哈哈,112
迷你,86
十亿,79
说,73
世界,63
大木,63
玩,62
币,60
10,60
弟弟,58
老板,55
津巴布韦,55
哈哈哈哈,52
亿,46
加油,44
走位,41
孩子,39
背锅,39
走,38
you,37
冒犯,37
up,36
网易,34
真,32
玩家,32
下次,31
真的,30
高能,30
roll,30
doge,29
正道,29
人生,28
下架,28
真实,27
完,27
游戏,27
打死,27
死,25
逼,25
青山,25
冥币,25
MC,25
声音,24
可爱,24
开,24
大气,24
笑,24
a,24
05,24
想,23
吸吸,23
08,23
枪,22
前方,22
秒,22
妙,22
后羿,21
07,21
听,20
感觉,20
抱,20
建议,20
鼠标,20
弹幕,19
nb,19
血,19
狂暴,19
爱,18
离谱,18
刀,18
视频,18
说话,18
十个,18
制裁,18
准星,17
里,17
停,17
白起,17
定位,17
普天同庆,17
地球,16
粉,15
太,15
滑稽,15
好看,15
捐,15
to,15
这是,15
中,15
年,15
枕握,15
06,15
灵敏度,15
快乐,14
干嘛,14
没救,14
out,14
