word,count
 ,564
n,232
1000,41
SimSun,41
0.7,20
10,15
好听,14
哈哈哈,14
250,11
爱,10
肆,9
人间,9
哒,9
900,8
1980,8
800,8
说,8
想,8
事,7
哈哈哈哈,7
间,6
酒,6
350,6
330,6
花,6
草,6
好好,6
粑,6
500,5
高,5
贴,5
200,5
闲,5
1080,5
真,5
肆肆,5
听,5
花菜,5
声音,5
320,4
220,4
1100,4
客,4
官,4
百,4
340,4
700,4
20,4
般,4
妖,4
精,4
挑,4
坐,4
甜,4
做,4
路,4
客官,4
快乐,4
游戏,4
弹幕,4
绕,4
尼姑,4
高音,4
老师,4
call,4
聪明,4
里,3
300,3
脸,3
15,3
夜,3
馆,3
志,3
远,3
偶,3
歇,3
愁,3
推,3
点,3
时,3
40,3
金,3
650,3
喝,3
懂,3
志向,3
高远,3
单推,3
酒馆,3
百般,3
生日快乐,3
头,3
反复,3
走上,3
独木桥,3
诶,3
彩演,3
可爱,3
棒,3
安宥,3
