word,count
 ,1107
草,282
哈哈哈,214
老师,114
哈哈哈哈,83
胡桃,70
噔,66
危,64
跑,52
200,47
好家伙,43
说,36
可爱,36
介绍,34
doge,32
懂,31
自爆,30
震,25
500,25
耶,24
bgm,21
hso,21
啊啊啊,21
死,20
自我介绍,20
完,20
地震,20
燃起,19
竟是,19
vtb,19
自投罗网,19
笑,19
O,19
呼,19
生日快乐,19
泪目,19
天使,18
确实,18
DD,18
dd,18
真,18
三年,17
东西,17
声音,17
不用,17
还行,17
魔器,17
好听,16
骂,16
十二,16
BGM,15
堕,15
同学,15
视频,15
塔,15
暴露,15
玩,14
三次,14
处刑,14
中之人,14
里,14
泡,14
太,14
跑不了,14
主,13
想,13
不愧,13
舰长,13
成,13
毕业,13
开幕,13
挺,13
马桶,13
眼熟,13
euphoria,13
小震,13
壁炉,13
元,12
二次元,12
曲,12
弹幕,12
神器,12
长,12
李贺,12
热乎,11
游戏,11
EVA,11
JOJO,11
狂喜,11
雷击,11
真的,11
分钟,11
水,11
诚哥,11
4.5,11
300,11
SimHei,11
乐,11
斗,11
Microsoft,11
