word,count
 ,12
艾斯,10
草,10
哈哈哈,10
哈哈哈哈,9
好听,4
UP,4
弹幕,3
啊啊啊,3
辛苦,3
狗,3
jpg,3
啧,3
跪,2
噗,2
嗝,2
承包,2
新年快乐,2
耶,2
bgm,2
233333,2
23333,2
歌姬,2
相遇,2
硬币,2
求不卡,2
←,2
主,2
膝盖,2
舔,2
啧啧,2
开口,1
饿,1
ohhhhhhhhhhhh,1
现场,1
ohhh,1
光速,1
吃,1
瘪,1
嚯,1
这机,1
翻,1
孩子,1
妙,1
牛蛙,1
kksk,1
点击,1
发现,1
好活,1
真实,1
柚,1
子,1
恼羞成怒,1
尴尬,1
空屏,1
首尾呼应,1
鹅,1
咩,1
消除,1
迫害,1
aki,1
太惨,1
笑,1
哭,1
智力,1
大幅,1
增加,1
对不起,1
指笑,1
开心,1
老公,1
ACE,1
How,1
old,1
are,1
you,1
配乐,1
慈悲,1
棒读,1
酸,1
打五,1
CSGO,1
重启,1
电视,1
嗓音,1
爱,1
凌晨,1
投稿,1
ass,1
第一首歌,1
紧张,1
音量,1
味,1
害怕,1
变声期,1
Ohhhhhhhhhhhhhhhhhhhhhhhh,1
梦回,1
离别,1
永远,1
离別,1
