word,count
哈哈哈,390
露露,298
草,278
 ,182
哈哈哈哈,172
艾,146
好听,58
笑,48
⎛,48
⎝,48
⏝,48
吃,46
一拳,43
说,41
爱,35
耶,32
小熊猫,31
太,30
蚌埠,29
住,29
不像,28
喜欢,27
确实,26
不住,25
福根,25
挺,25
孙燕姿,25
≥,24
≤,24
绷,22
听,22
太强,22
怂,21
死,21
强,20
好家伙,20
声音,20
可爱,19
狗宝,19
猫,18
真的,18
266,18
老师,17
♡,17
咬字,16
想,15
感觉,15
屑,15
钱,15
懂,15
浣熊,14
艾福根,14
唱,14
好好,14
厉害,14
好活,14
牛,13
兰兰,13
露,13
这是,13
格,13
瓦斯,13
杨宝,13
真,12
干脆,12
危,12
草草,11
↓,11
泪目,10
唱歌,10
面,10
啊啊啊,10
真实,10
话,10
开幕,10
搁,10
破防,10
有点像,10
yue,9
卧槽,9
干嘛,9
熊,9
高,9
熊妹,9
棒,9
做,9
好像,9
震怒,9
雷击,9
社长,9
一点,9
紧张,9
好喝,9
喝,9
冷门,9
离谱,8
很难,8
点,8
♪,8
掉,8
