word,count
 ,13
哈哈哈,8
艾鸽,6
耶,4
鸽鸽,4
哈哈哈哈,4
可爱,3
关注,3
想,3
鸽子,3
紧张,3
恐怖,2
游戏,2
真的,2
十年,2
老粉,2
kksk,2
听不见,2
小声,2
事,2
daisuki,2
歪,2
笑,1
死,1
错过,1
精彩,1
难受,1
改名字,1
希望,1
之花,1
233333,1
暴打,1
DD,1
好家伙,1
OK,1
真,1
安利,1
绿色,1
健康,1
清新,1
卡哇伊,1
鸭,1
做,1
狗头,1
初见,1
单推,1
结婚,1
进到,1
歌回,1
我要,1
爱豆路,1
不请自来,1
想开,1
军舰,1
爱鸽,1
诶,1
艾哥,1
牛,1
逼,1
血压,1
飙升,1
大长,1
腿,1
发生,1
慎,1
我必,1
王国,1
买房,1
长老,1
爷爷,1
干得,1
漂亮,1
推人来,1
承包,1
日,1
200,1
收获,1
感动,1
JPG,1
太好了,1
ohhhhhh,1
渣,1
男,1
温柔,1
真有,1
23333,1
开口,1
跪,1
这声,1
听,1
戳,1
开幕,1
雷击,1
ohhhhhhhhhhhhhhhhhhhhhhhhhhh,1
贪,1
新手,1
太,1
离谱,1
前排,1
下饭,1
