word,count
啊啊啊,20
太,10
好看,8
 ,7
天使,7
救命,7
呜呜,5
可爱,4
美波,4
mafu,4
awsl,4
美女,3
两个,3
空降,3
狐狸,2
美,2
这是,2
xz1,2
双向,2
暗恋,2
哇哇,2
真实,2
bgm,2
片恋,2
发光,2
嗨,2
眼镜,2
ma,2
重复,2
宝,2
好好看,2
天呐,2
说,2
五八,2
更新,1
三天,1
不愧,1
屑,1
草,1
石家,1
一声,1
打扰,1
玩,1
找个,1
向导,1
颜出,1
xzp,1
前方,1
核能,1
w,1
你好,1
米饭,1
太棒了,1
练,1
听力,1
男人,1
他会,1
狂咽,1
口水,1
听到,1
发现,1
版本,1
用心,1
上网,1
课,1
哈哈哈,1
我天,1
败者,1
食尘,1
这位,1
确信,1
下凡,1
好帅,1
wwww,1
BGM,1
唱,1
索尼,1
xz1c,1
天知道,1
段,1
次,1
视频,1
同一首歌,1
叫片,1
恋,1
求,1
首歌,1
....,1
太太,1
阿阿阿,1
降临,1
身边,1
成功,1
漂亮,1
好美,1
wsl,1
脸是,1
真的,1
.........,1
小帅哥,1
