word,count
 ,199
花花,173
好听,133
哈哈哈,131
✿,76
爱,61
弹幕,55
哈哈哈哈,49
草,43
ﾟ,41
花开花,39
盈伴,39
君行,39
up,35
啊啊啊,34
贴,31
call,31
真的,30
天下第一,25
喜欢,23
太,22
主,22
疯狂,21
厉害,21
花瓶,20
承包,18
耶,18
声音,17
好看,17
投币,16
硬币,16
表白,16
可爱,15
现场,15
不错,15
棒,14
加油,14
听,14
awsl,13
说,13
好家伙,13
快乐,13
瓶子,13
卧槽,13
收藏,13
笑,12
好评,12
小姐姐,12
i,11
哒,11
生日快乐,11
花姐,10
死,10
泛式,10
真,10
发个,10
赫萝,9
开幕,9
支持,9
高能,9
前方,9
2333,9
坏,9
女人,9
强,9
吨,9
剪辑,9
视频,9
阿婆,9
赞,9
花,8
感觉,8
想,8
牛,8
离谱,8
bgm,8
吸吸,8
红红火火,8
恍恍惚惚,8
名,8
做,8
瓶,8
杀,8
2333333,8
封面,8
嘤,8
小明,8
同学,8
助,8
助兴,8
膝盖,8
更新,8
°,8
无敌,7
请,7
站,7
雷击,7
23333,7
永远,7
游戏,7
