word,count
草,180
 ,165
哈哈哈,70
可爱,43
哈哈哈哈,36
耶,35
全麻,19
麻,18
好家伙,16
茉里,16
猪,16
说,15
笑,15
吸血鬼,15
拱,14
方式,13
真的,13
婚纱,13
死,11
爱,11
买,11
富婆,11
耳朵,11
穿,10
嘶哑,10
憨,10
做,10
千千,10
啪,10
好听,9
遗憾,9
确实,9
喜欢,8
快乐,8
水,8
驱动,8
开幕,7
运动,7
doge,7
懂,7
真,7
kksk,7
可乐,7
男人,7
雷击,6
抱歉,6
日语,6
吃,6
awsl,6
想,6
钱,6
寿衣,6
浪,6
衣服,6
感觉,5
弹幕,5
新,5
mari,5
孩子,5
玩,5
好像,5
产奶,5
游戏,5
一个头,5
大头,5
菜,5
家暴,5
有钱,5
朋友,5
结婚,5
浪漫,5
许下,5
愿望,5
消失,5
唱,4
....,4
狗头,4
进到,4
车,4
是因为,4
分钟,4
♪,4
๑,4
好活,4
封面,4
肥宅,4
棒,4
震惊,4
Mari,4
23333,4
自主,4
规制,4
无人区,4
好吃,4
电脑,4
有钱人,4
声卡,4
白花,4
疯狗,4
imi,4
