word,count
草,287
 ,285
哈哈哈,255
哈哈哈哈,102
茶宝,74
好听,67
太,58
啊啊啊,52
呜呜,49
听,46
爱,43
布鲁诺,43
笑,40
茶冷,39
好好,36
可爱,33
死,32
卧槽,31
真的,31
立绘,29
awsl,28
老师,27
有人,25
太强,24
说,24
喜欢,23
kp,23
感觉,22
声音,22
心脏,22
骤停,22
跪,21
无辜,21
性命,21
换取,21
安宁,21
画,19
卡镇,19
姐姐,19
帅,19
生日快乐,19
神仙,18
好帅,18
好看,18
制作,18
唱,16
耶,16
经典,15
茶,15
想,15
开口,15
德拉,14
失败,14
www,14
90,14
公公,14
太太,13
好强,13
kksk,13
卡森,13
噢,13
牛,13
这是,13
放海,13
弹幕,13
魅惑,13
团,13
莉莉,13
意志,12
棒,12
魔法,12
指,12
厉害,12
好好看,11
ohhhhhh,11
woc,11
吊,11
里,11
真,11
tql,11
跑,11
本本,11
tm,11
贴,11
好棒,10
哈兰,10
熟悉,10
确实,10
教育,10
太美,10
麻醉枪,10
新人,10
目,10
噔,10
强,9
nb,9
天,9
钢铁,9
jpg,9
KP,9
