word,count
 ,1684
lim,1399
草,382
莉姆丝,352
lims,328
贴,318
￣,300
说,291
哈哈哈,255
想,249
°,246
女人,238
好听,229
喜欢,206
老板,203
确实,198
懂,195
晚安,182
点,177
直播,167
史莱姆,164
做,160
捏,160
钱,157
真的,156
睡,154
可爱,151
听,146
坏,145
耶,140
完,140
死,139
牌子,139
唱,137
舰长,137
∀,136
太,130
走,127
狗,125
开,124
晚上,120
好家伙,114
喵,111
▽,110
ﾉ,109
吃,107
老婆,107
小姐,102
猫,101
dd,100
哈哈哈哈,99
笑,97
玩,95
骂,90
建议,89
老师,88
v,86
感觉,86
写,83
睡觉,83
糊涂,82
李慕思,81
月,80
直播间,79
爱,77
好好,77
真,77
数学,76
学,76
超管,76
声音,75
姐姐,75
舰,73
呜呜,72
高数,72
下播,71
明天,71
游戏,71
挺,70
问,67
小时,67
感情,67
唱歌,66
孩子,64
播,64
DD,64
行,63
骗,63
发,62
毕业,62
跑,62
敷衍,61
推,61
片哥,60
嘿嘿嘿,60
不行,59
指,59
切片,58
诶,57
美少女,57
